"","prediction.score.pancreatic.acinar.cell","prediction.score.type.B.pancreatic.cell","prediction.score.pancreatic.D.cell","prediction.score.pancreatic.stellate.cell","prediction.score.pancreatic.ductal.cell","prediction.score.pancreatic.A.cell","prediction.score.pancreatic.epsilon.cell","prediction.score.pancreatic.PP.cell","prediction.score.endothelial.cell","prediction.score.mast.cell","prediction.score.max"
"362",0,0,0,0,0,1,0,0,0,0,1
"363",0,0,0.0144006598027262,0,0,0.63942155766562,0.0941999825361049,0.251977799995548,0,0,0.63942155766562
"364",0,0.763020320722365,0,0,0,0.221891760420256,0,0.0150879188573788,0,0,0.763020320722365
"365",0,0,0,0,1,0,0,0,0,0,1
"366",0,0,0,0,0.193083340523497,0.799265616080121,0.00765104339638202,0,0,0,0.799265616080121
"367",0,0,0,0,1,0,0,0,0,0,1
"368",0,0,0,0,1,0,0,0,0,0,1
"369",0,0,0,0,0.967542040100514,0,0,0,0.032457959899486,0,0.967542040100514
"370",0,0.0439877185520963,0,0,0.851905929237351,0.104106352210553,0,0,0,0,0.851905929237351
"371",0.276417830899726,0,0,0,0.595183037214263,0.128399131886011,0,0,0,0,0.595183037214263
"372",0,0,0.428857461433327,0,0,0.190483575818702,0.0258148954369787,0,0,0.354844067310992,0.428857461433327
"373",0,0,0,0,1,0,0,0,0,0,1
"374",0.072686468220422,0.196626557153716,0.543335634652909,0,0,0.0135153464499513,0.173835993523002,0,0,0,0.543335634652909
"375",0,0,0,0,1,0,0,0,0,0,1
"376",0,0,0.0522896977654301,0,0.94771030223457,0,0,0,0,0,0.94771030223457
"377",0,0.997549806710902,0,0,0.0024501932890979,0,0,0,0,0,0.997549806710902
"378",0,0,0,0,0.858906328231101,0.141093671768899,0,0,0,0,0.858906328231101
"379",0,0,0,0,1,0,0,0,0,0,1
"380",0,0,0,0,1,0,0,0,0,0,1
"381",0.00928044579793436,0,0,0,0.990719554202066,0,0,0,0,0,0.990719554202066
"382",0,0,0,0,0.788645103766291,0.182501023302869,0,0.0288538729308397,0,0,0.788645103766291
"383",0,0.0568528768718144,0,0,0,0.943147123128185,0,0,0,0,0.943147123128185
"384",0.260998240468987,0,0,0,0.644981679314606,0.0940200802164074,0,0,0,0,0.644981679314606
"385",0,0.0476587873674322,0,0,0,0.294934017244452,0,0.657407195388116,0,0,0.657407195388116
"386",0,0.0371915191895958,0,0,0,0.962808480810404,0,0,0,0,0.962808480810404
"387",0.171923491154058,0,0,0.0397920822264677,0.788284426619475,0,0,0,0,0,0.788284426619475
"388",0,0.00810095826678676,0.265514393300057,0,0,0.501395780984244,0.224988867448912,0,0,0,0.501395780984244
"389",0,0.0136055989349984,0.288772613328053,0,0,0.339671126841562,0,0,0,0.357950660895387,0.357950660895387
"390",0,0,0,0,1,0,0,0,0,0,1
"391",0,0.657283605719783,0,0,0,0.182102514965453,0.0135628182769335,0.14705106103783,0,0,0.657283605719783
"392",0,0,0,0,1,0,0,0,0,0,1
"393",0,0,0,0,1,0,0,0,0,0,1
"394",0,0,0,0,0,0.999999999999999,0,0,0,0,0.999999999999999
"395",0,0,0,0,0.997726528343702,0.00227347165629782,0,0,0,0,0.997726528343702
"396",0,0,0,0,1,0,0,0,0,0,1
"397",0.260086070195702,0.36369676753113,0,0,0,0.376217162273168,0,0,0,0,0.376217162273168
"398",0.419838833259387,0,0,0,0.50779149047222,0.0723696762683927,0,0,0,0,0.50779149047222
"399",0,0,0.000695552881688314,0.99326944791929,0,0,0,0.00603499919902153,0,0,0.99326944791929
"400",0.297915421212994,0,0,0,0.67505984956097,0.0270247292260362,0,0,0,0,0.67505984956097
"401",0,0.422273805988294,0,0,0,0.364791621440615,0,0,0.212934572571091,0,0.422273805988294
"402",0,0.0195821896320906,0.428235616641069,0,0,0,0.156462164307062,0.395720029419779,0,0,0.428235616641069
"403",0,0,0,0,1,0,0,0,0,0,1
"404",0.391480510453678,0,0,0,0.537664766539947,0.070854723006376,0,0,0,0,0.537664766539947
"405",0,0,0,0,0.168037687996464,0.831962312003536,0,0,0,0,0.831962312003536
"406",0,0,0.0322866244562745,0,0.0230959517147936,0.0397947773287553,0,0,0.585795704533668,0.319026941966509,0.585795704533668
"407",0,0,0,0,0.105387119290916,0,0,0,0.894612880709084,0,0.894612880709084
"408",0,0,0,0,1,0,0,0,0,0,1
"409",0,0,0,0,1,0,0,0,0,0,1
"410",0,0,0,0,0,0.202225319786344,0.0260746788976694,0.771700001315987,0,0,0.771700001315987
"411",0,0,0,0,0.198804721147383,0.257642514232792,0,0.543552764619825,0,0,0.543552764619825
"412",0,0,0,0,0.997102541356234,0.00289745864376661,0,0,0,0,0.997102541356234
"413",0,0,0,0,1,0,0,0,0,0,1
"414",0.290003579447155,0,0,0,0.635878869572075,0.0741175509807693,0,0,0,0,0.635878869572075
"415",0.0386066067536755,0.570213727038345,0,0,0,0.39117966620798,0,0,0,0,0.570213727038345
"416",0,0,0,0,0,1,0,0,0,0,1
"417",0,0,0,0,0.0652118345986597,0,0,0,0.934788165401341,0,0.934788165401341
"418",0,0,0,0,0,1,0,0,0,0,1
"419",0,0,0,0,0.702551070942236,0.154800107791372,0,0.142648821266392,0,0,0.702551070942236
