"","prediction.score.Endothelial.Cell","prediction.score.Thick.Ascending.Limb","prediction.score.Distal.Convoluted.Tubule","prediction.score.Proximal.Tubule","prediction.score.Connecting.Tubule","prediction.score.Principal.Cells","prediction.score.Intercalated.Cells.Type.A","prediction.score.Intercalated.Cells.Type.B","prediction.score.Mesangial.Cells","prediction.score.Leukocyte","prediction.score.max"
"539",0.0106217665194333,0.141142583295361,0.0487048887905162,0,0.0050462788089457,0.784758577711524,0,0,0,0.00972590487421939,0.784758577711524
"540",0,0.401290391601839,0.179713338982118,0.418996269416043,0,0,0,0,0,0,0.418996269416043
"541",0,0.251541928441946,0,0.748458071558054,0,0,0,0,0,0,0.748458071558054
"542",0,0.949408007495414,0,0,0.0505919925045868,0,0,0,0,0,0.949408007495414
"543",0,0.20704113964185,0,0.77288765439218,0,0,0,0,0.0200712059659694,0,0.77288765439218
"544",0.226207884407192,0.131324298714799,0,0.0237896606218775,0.0192878802545088,0.474494665813045,0,0,0,0.124895610188578,0.474494665813045
"545",0,0.11920574587192,0,0.143107074500619,0,0.0291130503483098,0,0,0.700613019347306,0.00796110993184468,0.700613019347306
"546",0,0.0298769590817536,0,0.125622359508479,0.0298769590817536,0.767472570709979,0,0.0305765828470176,0,0.0165745687710172,0.767472570709979
"547",0,0.0245318082214711,0,0.00674269719242564,0,0.00509644138523946,0.841932647889367,0.121696405311497,0,0,0.841932647889367
"548",0,0.594801837500106,0.0230506923568922,0.309769679634973,0.0148139764270556,0.0155995214879442,0.0419642925930299,0,0,0,0.594801837500106
"549",0,0.0331260576693233,0,0.888887409034366,0.00608119973928725,0.0719053335570237,0,0,0,0,0.888887409034366
"550",0,0.591611886198682,0,0.236658028243097,0.0234992594522771,0,0,0,0,0.148230826105944,0.591611886198682
"551",0,0.416230248032731,0.583769751967269,0,0,0,0,0,0,0,0.583769751967269
"552",0,0,0,0,0,1,0,0,0,0,1
"553",0.0475945202730155,0.0822330005644489,0,0.0685379394724472,0.00880195923717693,0.0106320073205783,0,0,0.782200573132334,0,0.782200573132334
"554",0,0.980890746092818,0,0,0.0191092539071819,0,0,0,0,0,0.980890746092818
"555",0,0.97377962386175,0,0,0.02622037613825,0,0,0,0,0,0.97377962386175
"556",0,0,0,0.0208194362859682,0,0.979180563714032,0,0,0,0,0.979180563714032
"557",0,0.0455345253303498,0.00123854344790155,0.00954167856738546,0.148841504750809,0.792921575668907,0,0.00192217223464725,0,0,0.792921575668907
"558",0,0.0276517380960093,0.1159354748277,0.0867348764014831,0.769677910674808,0,0,0,0,0,0.769677910674808
"559",0.551851136130409,0.328828336395555,0,0.0892719066123545,0,0,0,0,0,0.0300486208616817,0.551851136130409
"560",0.0279309849401899,0.97206901505981,0,0,0,0,0,0,0,0,0.97206901505981
"561",0.00183073719393527,0.290457761774358,0,0.0688049015659557,0.599227442024923,0.0396791574408281,0,0,0,0,0.599227442024923
"562",0,0.0187932758443982,0.138172294354426,0,0,0.843034429801176,0,0,0,0,0.843034429801176
"563",0.828756520764939,0.0236628036730947,0,0.0158130806668799,0,0.000611913485055249,0,0,0,0.131155681410031,0.828756520764939
"564",0,0,0,0,0,1,0,0,0,0,1
"565",0.135141087866826,0.0775146742097939,0,0.730050317322045,0,0,0,0,0.0513329281705755,0.00596099243075911,0.730050317322045
"566",0,0.0911765374733255,0,0.893440345343966,0,0,0,0,0,0.0153831171827092,0.893440345343966
"567",0,0.953333055735997,0,0.0271814675022783,0.019485476761725,0,0,0,0,0,0.953333055735997
"568",0,0.938176017583667,0,0.0618239824163331,0,0,0,0,0,0,0.938176017583667
"569",0.0386546812809369,0.0554052768664703,0,0.811539704999412,0,0.0320875138263023,0,0,0,0.0623128230268783,0.811539704999412
"570",0.025817907384718,0.0678148109621365,0,0.533431469991493,0.0246997309628853,0.324777396051411,0,0.0223908015198884,0,0.00106788312746755,0.533431469991493
"571",0,0.444916256036339,0.00418070726701668,0.535688906968402,0.0152141297282421,0,0,0,0,0,0.535688906968402
"572",0,1,0,0,0,0,0,0,0,0,1
"573",0,0.0177488068481122,0.00157270292546158,0.941453093976496,0.00466468741599191,0.0253138477487441,0,0.0035967115474483,0,0.00565014953774639,0.941453093976496
"574",0,0.00808537921081236,0,0,0.00740349136444561,0.984511129424743,0,0,0,0,0.984511129424743
"575",0.323436679262106,0.330591036108522,0,0,0,0,0,0,0.338860111755244,0.00711217287412905,0.338860111755244
"576",0,0.0311945208795378,0,0.959688889769491,0.00278157937739265,0.00633500997357839,0,0,0,0,0.959688889769491
"577",0,0.104154002391246,0.0831709287118808,0.556471812576902,0.0100988021275759,0.018535691961017,0.0203843985556516,0.207184363675726,0,0,0.556471812576902
"578",0,0.985992101889548,0,0,0.0140078981104526,0,0,0,0,0,0.985992101889548
"579",0,0.813396042705964,0,0,0.0903839337536827,0.0962200235403535,0,0,0,0,0.813396042705964
"580",0,0,0,1,0,0,0,0,0,0,1
"581",0,0.275609161059972,0,0.0054119280144325,0.0713499080042247,0.647629002921371,0,0,0,0,0.647629002921371
"582",0.178373127550441,0.0251963130687853,0,0,0,0,0,0,0.796430559380774,0,0.796430559380774
"583",0,0,0,1,0,0,0,0,0,0,1
"584",0.995563618733822,0,0,0,0,0,0,0,0,0.00443638126617867,0.995563618733822
"585",0.581475643867076,0.00575118887513642,0,0.353291123454552,0,0.014136893051024,0.0381424501374705,0,0,0.00720270061474105,0.581475643867076
"586",0.956971024152681,0.0211036457781998,0,0,0,0,0,0.0138803679292727,0,0.00804496213984662,0.956971024152681
"587",0.793871500486466,0.128348516779985,0,0.0178942256123753,0,0,0,0,0.0598857571211744,0,0.793871500486466
"588",0.802667316100236,0.00670687098257485,0,0.127516929812025,0,0,0,0.00706700693982841,0.0426943566219783,0.0133475195433571,0.802667316100236
"589",0,0,0,1,0,0,0,0,0,0,1
"590",0,0.544147590969911,0.02533916600684,0.355895188619856,0.0133985148144447,0,0,0,0,0.0612195395889479,0.544147590969911
"591",0,0,0,1,0,0,0,0,0,0,1
