,Alveolar_Type_1,Alveolar_Type_2,B_cells,Basal,CD4_T,CD8_T,Ciliated,Club cell,DC,Endothelial,Fibroblast,Macrophage,Mast,Monocytes,Muscle_cells,NK,Plasma,Proliferating_Macrophage,Proliferating_NK_T
795,1.8290285e-06,1.1974521e-06,8.981587e-06,3.787229e-06,0.14552556,0.14086875,7.4879057e-07,0.02600275,3.750489e-06,0.34792095,9.5094737e-07,0.20670542,6.563238e-07,9.2407645e-06,8.166892e-07,0.13271427,1.3578739e-06,7.967728e-06,0.00022092304
796,6.448786e-07,0.4820152,3.0898465e-07,5.6137867e-07,1.7554987e-06,1.7825869e-06,1.6475583e-07,0.014329808,2.3344495e-07,0.4239173,3.7141396e-07,1.7233589e-07,1.4120059e-07,3.6921307e-07,0.0037995726,0.075930975,1.19185664e-07,1.8061522e-07,3.8620263e-07
797,2.7566117e-07,3.1158424e-07,0.09158721,3.2611356e-07,3.5117062e-06,0.002029536,1.8920561e-07,0.0063895327,8.1445194e-07,0.8256723,5.709942e-07,2.9540942e-07,4.5605938e-07,1.0579586e-06,3.5331593e-07,0.07431046,6.0234953e-07,2.6671054e-07,1.7344951e-06
798,1.244367e-07,1.2455578e-07,3.4500184e-07,1.1094541e-07,3.1589548e-07,4.1125244e-07,6.782123e-08,1.1107096e-07,2.2041345e-06,0.36923775,2.7255658e-07,0.5007865,6.539482e-08,0.014070136,1.1947508e-07,0.115899235,7.00257e-08,1.7012824e-06,3.1132325e-07
799,0.058670126,0.017233618,1.0331049e-06,0.03384691,0.014330197,3.475785e-07,5.4675695e-07,0.012428377,4.6397067e-06,0.20072329,1.8276972e-07,0.59111583,6.8594815e-08,0.059702035,3.1604512e-07,0.002805094,6.6219435e-08,0.009132852,4.5152156e-06
800,1.9296995e-07,1.9762278e-07,0.0009318399,2.4054663e-07,0.0019548223,1.7981999e-07,9.225824e-08,0.017275827,0.0048436774,0.97499096,2.9399982e-07,1.6054517e-07,1.3728956e-07,3.7581125e-07,2.9285974e-07,1.2076615e-07,8.9650385e-08,1.6823573e-07,3.5100012e-07
801,1.2127152e-06,0.07135551,0.01589437,6.647865e-07,3.4778586e-07,1.5406738e-07,0.0014514253,0.0347879,0.021513673,0.23938178,4.2786934e-07,0.49361917,1.6005745e-07,0.06133802,3.3313097e-07,1.2970553e-07,8.623331e-08,0.060654424,2.1783805e-07
802,5.1102734e-07,4.3004988e-07,1.0467818e-06,5.4340745e-07,0.24863154,1.1173469e-06,2.3072576e-07,0.010643077,1.1044106e-06,0.740697,1.8175813e-05,4.2789594e-07,3.3474493e-07,5.488736e-07,1.5157482e-06,6.4666096e-07,2.0516366e-07,4.89793e-07,1.0366497e-06
803,0.0042694514,5.78622e-07,5.4379416e-07,3.1268397e-07,0.023484364,4.0695124e-07,1.325935e-07,0.009373861,1.6367038e-06,0.7584598,0.19880414,2.3107941e-07,2.1077665e-07,5.1037574e-07,0.0056030964,2.4928062e-07,1.3356347e-07,2.1336984e-07,2.2535157e-07
804,2.190419e-06,0.1012724,0.0006240231,0.010837324,1.007062e-07,7.480346e-08,3.6372177e-07,0.5172082,7.831537e-06,0.059968527,0.31007782,1.7426244e-07,7.0621454e-08,1.5696895e-07,2.960143e-07,8.5992035e-08,6.178288e-08,1.3516376e-07,7.9497354e-08
805,3.4142354e-07,5.448984e-07,2.7900055e-07,9.3734094e-08,4.1565252e-07,3.3224296e-07,4.5874433e-08,3.6785136e-07,0.01886208,0.24221185,1.7232821e-07,0.6593859,4.843032e-08,1.0509128e-06,1.7770874e-07,0.032031257,4.941586e-08,0.021596981,0.025908079
806,0.098327495,0.045612562,2.9207973e-07,0.024547206,8.3245834e-07,1.4350394e-07,9.696903e-08,0.08345411,4.4011063e-07,0.26790735,2.2986409e-07,0.39982444,5.659457e-08,0.08031619,2.0073163e-07,1.3632398e-07,5.698283e-08,7.896728e-06,1.9816314e-07
807,2.0450204e-07,2.0131446e-07,7.314037e-07,2.634341e-07,1.1699171e-06,2.1815783e-06,1.4908693e-07,7.2516957e-07,0.005874608,0.13472113,3.4832323e-07,0.44268098,0.15229839,0.029536089,2.2100764e-07,0.1275036,1.4342844e-07,0.1072404,0.00013857661
808,6.7170635e-07,4.3697966e-07,6.499354e-07,3.96209e-07,2.4005421e-06,1.5986221e-06,2.7491407e-07,0.0036961448,4.4590695e-07,0.67143035,1.2670271e-06,7.071313e-07,5.778796e-07,6.662176e-05,0.013113158,0.31168234,3.031822e-07,6.2206476e-07,1.0439956e-06
809,0.19014107,2.0630651e-07,1.06403725e-07,0.23854099,0.0016305719,1.03177875e-07,0.5174139,1.7324883e-06,4.6318323e-08,0.050116923,2.2363717e-07,3.85044e-08,2.2685383e-07,6.761988e-08,2.3184664e-06,5.6920207e-08,8.194488e-08,4.8817125e-08,0.0021512127
810,1.1650877e-06,6.4845636e-07,0.016659243,0.19406499,0.1989751,4.7975495e-06,2.4973878e-07,0.0221169,1.5101831e-06,0.2754464,0.28758645,3.7859652e-07,2.5883227e-07,1.5347285e-05,4.8078136e-06,1.3114342e-06,0.0051190355,3.713354e-07,1.0616442e-06
811,4.707271e-06,0.7268488,3.237504e-07,7.5442836e-07,0.09141743,1.0142601e-06,9.389198e-08,0.057133716,3.0823745e-07,5.526102e-07,1.8952885e-07,1.2064768e-07,8.478367e-08,0.124590725,3.1754155e-07,3.1304282e-07,1.01390796e-07,1.00955255e-07,2.3211366e-07
812,1.97783e-07,1.4143939e-07,0.025480155,2.3336499e-07,1.1585348e-06,5.8378e-07,8.8352394e-08,1.5914013e-07,0.00919896,0.09726014,4.987481e-07,0.56790453,1.2798293e-07,0.23189344,2.550347e-07,0.045664817,2.0342958e-07,0.0029427893,0.01965158
813,9.785963e-07,0.5728398,0.044442985,2.8276006e-07,0.0069807633,1.13931385e-07,6.436982e-08,0.011218966,2.1122487e-07,0.068024464,0.26606005,1.1222058e-07,0.001992183,3.8383072e-07,0.026350323,6.941308e-08,0.0020878012,1.1539457e-07,1.06490184e-07
814,0.034801878,0.51782686,9.816679e-07,0.1302996,3.2940056e-07,1.2789481e-07,0.0009199784,0.12864123,0.0068814415,0.054064214,5.3528635e-07,0.11688436,4.5929355e-08,0.0046630604,1.488371e-07,8.5944954e-08,5.000463e-08,0.0050148233,2.6176673e-07
815,2.4624345e-07,2.004667e-07,1.1248177e-06,3.6480134e-07,0.12175602,2.6878142e-06,1.2164038e-07,7.5172494e-07,0.3316694,0.08931663,6.009255e-07,1.1356922e-06,1.7998008e-07,0.20815694,5.452185e-07,0.23805304,1.7389719e-07,5.81644e-07,0.01103935
816,5.522708e-07,4.408798e-07,0.08058452,0.01166391,8.906169e-07,3.673455e-07,0.0025568374,0.014950851,0.01819831,0.37570918,6.124001e-07,5.0565166e-07,0.4963301,4.5032073e-07,6.351769e-07,3.170604e-07,2.0919536e-07,8.159318e-07,5.634341e-07
