,Connecting Tubule,Distal Convoluted Tubule,Endothelial Cell,Intercalated Cells Type A,Intercalated Cells Type B,Leukocyte,Mesangial Cells,Principal Cells,Proximal Tubule,Thick Ascending Limb
69,1.7414515e-05,1.4108818e-05,1.7665631e-06,0.07486697,0.120378695,4.5931645e-07,2.097381e-05,0.34054905,0.44621977,0.01793083
70,0.20431428,0.09349859,0.021252206,1.1997047e-06,0.04612646,0.009472251,0.06478323,0.42668542,0.13386516,1.2142667e-06
71,4.045198e-06,0.032415744,0.12873189,0.46285477,1.7123757e-05,0.028872617,2.1627088e-06,0.06350879,0.1608079,0.12278493
72,3.7626435e-06,0.015357878,3.6691856e-07,0.16277392,9.111431e-06,0.03255321,0.021743065,0.5945618,0.13196905,0.04102782
73,0.27595124,0.36771858,2.1365813e-06,0.006469222,3.6282584e-06,0.030513115,0.022592602,1.8543784e-06,0.06479367,0.23195401
74,1.4629277e-05,7.173496e-06,0.19891505,1.5214248e-06,0.0034047193,7.155081e-06,0.010754633,0.058846675,0.23262362,0.49542487
75,0.19013856,0.22776414,0.39257532,0.060265496,2.972632e-06,7.0292167e-06,0.090485364,2.020874e-05,0.027771534,0.010969294
76,0.2088857,1.7413611e-06,0.020679822,0.44489262,0.06234251,0.09247788,0.037800435,2.505291e-05,0.13289239,1.8927532e-06
77,0.27514127,0.07331885,0.02589569,0.020144317,0.09673957,0.0013397837,0.029548364,0.1521242,0.18673591,0.13901211
78,3.7257378e-05,0.1827268,0.05923659,8.787854e-07,0.030994846,0.03788533,0.04138788,0.22997612,1.6958861e-06,0.4177526
79,0.002204495,1.544374e-06,0.08233153,4.0102914e-05,1.8346778e-06,0.048494175,0.031182807,0.38045818,2.6358077e-06,0.45528272
80,4.175114e-06,0.06411332,0.0983011,0.012875765,0.059784077,0.0006754853,8.0808206e-07,0.60257316,0.03676467,0.12490742
81,2.096274e-05,0.092876114,0.10690018,0.055711187,0.1346918,0.0060729124,0.11140874,0.114692286,0.2393577,0.13826813
82,8.114724e-06,0.6622046,8.1384104e-07,1.5348058e-06,1.7290749e-06,9.11229e-07,1.0137577e-06,1.798859e-06,0.3377758,3.6623107e-06
