,endothelial cell,mast cell,pancreatic A cell,pancreatic D cell,pancreatic PP cell,pancreatic acinar cell,pancreatic ductal cell,pancreatic epsilon cell,pancreatic stellate cell,type B pancreatic cell
40,3.6253611e-09,2.5888352e-07,0.018095095,0.30177727,0.27260435,4.8096376e-09,4.3268438e-09,0.10836698,3.2841492e-09,0.299156
41,1.0585071e-05,0.031242859,0.1678266,0.119743444,0.17270717,0.119362384,0.1764817,0.14029366,4.7217693e-08,0.07233158
42,0.0076702763,0.071579784,0.27400175,0.13907962,0.06442739,1.6318182e-06,0.28790018,0.15532497,1.92533e-06,1.2572908e-05
43,7.3803283e-09,0.000394249,0.32170457,1.4784684e-06,0.0019560766,0.39201957,2.1297454e-08,0.0029309075,5.53267e-09,0.28099307
44,0.040925503,0.22475852,8.795471e-05,0.048913237,0.01772904,0.24943885,0.24691722,0.17087714,0.00034238404,1.0108915e-05
45,6.2879174e-08,7.8978055e-06,0.2831067,0.27618843,0.15218039,1.5568402e-08,0.03752934,0.067269325,0.08249013,0.10122774
46,1.8848791e-08,0.018200375,2.0489252e-07,0.04587028,2.5158892e-07,0.44110772,0.42678633,0.029302001,6.302019e-09,0.038732886
47,4.823753e-09,1.0430769e-08,0.37230378,0.07107139,0.003975087,0.08840557,5.3091047e-09,0.091417044,4.444469e-09,0.37282714
48,0.00079595024,0.03127886,5.7825007e-05,0.19420172,0.08203812,0.19999768,0.19652121,0.0944516,0.0027445601,0.19791242
49,7.707257e-07,0.009480253,0.0127702765,0.30775663,0.023723898,1.7979007e-08,0.31079924,0.22356188,2.2974975e-08,0.111906946
50,2.6900961e-09,7.2795174e-09,0.2490418,0.24083912,0.2139553,3.875869e-09,2.2595361e-09,0.044470835,2.3700677e-09,0.25169295
51,5.668067e-08,0.0019186452,0.26054755,0.06263713,0.24421918,9.8060475e-09,0.25273043,0.1381554,1.7560296e-08,0.039791513
52,1.0345741e-06,0.3565019,7.3615487e-09,1.6628311e-08,9.320573e-09,0.27789208,0.36550036,0.000104536535,1.425962e-07,5.8901723e-09
53,0.021524994,0.094675645,0.33316463,0.0050741397,0.024125336,1.17399544e-07,0.35806623,0.1633673,2.7234512e-07,1.3561591e-06
54,3.1763683e-08,0.010730352,0.16737899,2.3626806e-07,0.0059692864,0.37555903,0.38681963,0.053542346,2.5498828e-08,5.4304152e-08
55,0.28091317,0.23453669,1.7860697e-06,3.399302e-06,3.821302e-06,0.086710624,0.2785594,0.005571174,0.11369919,7.99633e-07
56,4.0500834e-09,7.964081e-09,0.48703036,8.654114e-06,0.38023934,6.7155432e-09,3.694761e-09,0.0909911,3.4268797e-09,0.04173055
57,0.024007412,0.04191808,0.35169914,1.5372309e-06,0.057145193,1.5035293e-07,0.37417305,0.14591841,0.0051368056,1.5075626e-07
58,3.0935454e-09,1.275127e-08,0.36631086,0.029024998,0.34950894,4.6200928e-09,2.9884273e-09,0.17783311,2.5741276e-09,0.0773221
59,5.8420357e-09,1.0258837e-08,0.59114075,9.477609e-05,4.2438746e-06,6.960684e-09,3.7559187e-09,4.031089e-06,4.934213e-09,0.40875626
60,3.0716087e-09,8.954975e-09,3.857478e-05,0.34558818,0.290409,5.4585674e-09,3.365106e-09,0.09332833,3.031553e-09,0.27063584
61,0.06521845,0.0200756,1.6793409e-07,2.3274347e-07,0.14667389,0.20378746,0.25709477,0.044152316,0.26299706,5.4800733e-08
62,1.4404344e-08,2.6793739e-08,0.021776482,0.025094679,0.39526597,7.610383e-09,0.24468245,0.0722328,6.9023254e-09,0.2409476
63,2.579821e-07,0.000177759,9.771039e-06,0.26413232,0.2671632,1.09141665e-08,0.26017976,0.09940997,7.874017e-09,0.108927
64,1.0560035e-08,0.0017985672,0.39421174,3.6679383e-05,0.055768654,8.615352e-09,0.2264189,0.023544176,6.940328e-09,0.2982213
65,1.2943582e-08,1.1970445e-06,0.043836147,0.21179087,0.016125774,1.31633335e-08,0.2198779,0.005762505,6.4834818e-09,0.50260556
66,0.031650573,0.10923945,9.508646e-06,0.0672812,0.17700279,0.2672094,0.2641857,0.08341776,1.7642741e-06,1.8432646e-06
