,Astro_AMY,Astro_AMY_CTX,Astro_CTX,Astro_HPC,Astro_HYPO,Astro_STR,Astro_THAL_hab,Astro_THAL_lat,Astro_THAL_med,Astro_WM,Endo,Ext_Amy_1,Ext_Amy_2,Ext_ClauPyr,Ext_Hpc_CA1,Ext_Hpc_CA2,Ext_Hpc_CA3,Ext_Hpc_DG1,Ext_Hpc_DG2,Ext_L23,Ext_L25,Ext_L56,Ext_L5_1,Ext_L5_2,Ext_L5_3,Ext_L6,Ext_L6B,Ext_Med,Ext_Pir,Ext_Thal_1,Ext_Thal_2,Ext_Unk_1,Ext_Unk_2,Ext_Unk_3,Inh_1,Inh_2,Inh_3,Inh_4,Inh_5,Inh_6,Inh_Lamp5,Inh_Meis2_1,Inh_Meis2_2,Inh_Meis2_3,Inh_Meis2_4,Inh_Pvalb,Inh_Sst,Inh_Vip,LowQ_1,LowQ_2,Micro,Nb_1,Nb_2,OPC_1,OPC_2,Oligo_1,Oligo_2,Unk_1,Unk_2
12,0.027218185,0.019435385,1.0853457e-06,6.537158e-06,0.021538792,7.967179e-07,1.9612821e-06,1.2657599e-06,1.3437816e-06,0.029732974,0.03767047,0.050139822,0.08843609,5.342361e-07,3.4465327e-07,2.3285416e-07,2.838178e-07,6.2571456e-07,4.6027623e-07,0.057073273,7.981825e-07,4.1353982e-07,5.6322824e-07,4.891765e-07,1.0534411e-05,6.313307e-07,5.059542e-07,2.5125626e-06,0.09942593,1.8817943e-07,4.5775045e-07,0.031042432,0.09824619,0.003462272,0.10028838,4.6251234e-06,0.07824696,0.09901257,7.26743e-07,3.293775e-05,0.01773859,0.095787585,1.9921047e-06,5.9074217e-05,3.6140847e-07,5.67998e-07,4.788507e-06,1.0015024e-06,0.008784582,0.0150580555,0.003926408,6.472335e-07,0.017588211,2.3718171e-06,2.8373706e-06,4.552586e-08,5.249097e-08,3.3407125e-07,1.7525431e-06
13,0.09014511,1.2678584e-05,5.934599e-07,1.1039622e-05,0.09704219,5.305031e-07,0.13822208,7.3154274e-07,2.1601954e-06,0.25131366,0.13391766,4.8044205e-07,7.1437177e-07,2.3281585e-07,2.261729e-07,2.83653e-07,2.2540529e-07,1.8965021e-07,1.8566314e-07,3.3323482e-07,2.1477582e-07,2.4226082e-07,3.0743126e-07,2.8971752e-07,9.198165e-07,2.6491873e-07,1.1582108e-06,2.2573612e-07,5.7554195e-07,1.7795907e-07,2.0243597e-07,3.4268146e-07,3.5921653e-07,3.235551e-07,4.862692e-07,2.837721e-07,2.661989e-07,3.292421e-07,3.234906e-07,3.4046903e-07,3.3284257e-07,3.6840828e-07,3.500056e-07,2.9480813e-07,3.5027978e-07,3.863806e-07,4.6718864e-07,4.039834e-07,0.2565866,2.4397815e-07,0.004685803,2.15081e-07,2.640954e-07,0.0030828668,0.024960676,5.906398e-07,4.769158e-07,1.3816374e-07,3.3157627e-07
14,2.3016657e-06,1.2948755e-06,9.4548005e-07,0.021013955,0.019810727,6.6602064e-07,0.015499355,0.10152256,0.023143904,0.0001388219,0.039090358,2.2169263e-07,1.919374e-07,2.6862563e-07,3.4035963e-07,9.959494e-07,7.60808e-07,2.1598647e-07,2.133572e-07,3.6868784e-07,1.2159086e-06,6.029765e-07,5.5185586e-07,0.024901146,1.80825e-07,2.5144374e-07,3.41252e-07,1.0411931e-05,2.245584e-07,0.11701255,0.11326037,1.9983243e-07,2.798611e-05,0.015205266,1.7725857e-07,0.038282085,4.071121e-07,2.3618135e-07,0.1035093,0.009174712,1.3213867e-06,3.2390992e-07,1.0497508e-06,3.453327e-07,0.08882449,0.09941284,4.918498e-07,3.21571e-07,0.0053057545,7.479063e-07,2.5388806e-07,1.8015305e-07,0.006928471,2.8105158e-06,0.03651251,0.057166334,0.06422404,7.84171e-07,3.058245e-07
15,0.0020024113,0.044623908,3.6935526e-06,0.013181439,5.885662e-07,1.7929583e-06,0.014992009,6.447289e-07,5.7018906e-07,0.037690777,0.052832317,0.04520127,0.049494375,0.024668716,5.198632e-07,1.1278731e-06,5.793109e-07,1.0366681e-06,8.048958e-07,0.044939052,0.029098421,0.010503541,0.050319728,0.045919687,0.0006133212,0.04918909,0.0065403036,0.022244392,0.047826454,1.8952115e-07,6.0398395e-07,7.868331e-05,0.04911232,0.014536462,1.8758611e-06,3.5787712e-06,0.001410401,2.425764e-06,0.0486529,0.026572565,0.0420021,0.011676619,0.012018039,5.948235e-06,0.016908713,0.04635747,0.04614478,0.0046734856,0.021468634,0.037275027,0.00842667,0.013379415,0.0035494056,3.766572e-05,1.0292047e-07,4.6185306e-08,5.0969998e-08,0.0038094707,1.695676e-06
16,1.4710496e-06,6.285183e-07,3.9369976e-07,7.348063e-07,0.0745315,1.5134934e-06,0.021835566,5.1830506e-07,6.4190084e-07,0.07321971,0.084651284,3.529481e-07,2.2054114e-07,1.4886388e-07,1.2962735e-07,1.8727405e-07,1.4472508e-07,5.6756113e-07,3.1529987e-07,1.2184957e-07,1.1626048e-07,1.3136875e-07,1.3816711e-07,1.4695672e-07,2.6030807e-07,1.4003015e-07,1.7963802e-07,1.9293294e-07,1.8693682e-07,1.3947707e-07,2.0292624e-07,3.3572127e-07,0.04798587,4.7273406e-07,0.20296875,1.9712968e-06,0.17126893,0.19302239,1.3068857e-06,2.3708258e-06,3.2508586e-07,4.1145634e-07,2.3803838e-07,2.4443406e-07,4.3188226e-07,4.6432632e-07,1.6087353e-06,2.9472342e-06,0.00847478,2.051121e-07,1.8142782e-07,7.521918e-07,0.0444512,2.188383e-06,1.8431132e-07,6.7045335e-08,6.811211e-08,2.4654497e-07,0.07756329
17,0.016247438,0.051131584,0.00015972096,0.02785555,8.9311175e-07,0.0005796331,0.004673551,5.034898e-07,3.8648136e-07,0.056357883,0.060005073,4.4636224e-07,0.006450032,0.053563237,5.622603e-07,6.3808477e-07,4.4710671e-07,0.004559514,0.00018120883,0.058206484,0.057421528,0.05203621,0.056204226,0.022296635,3.7911187e-07,0.05656647,3.0482653e-07,0.057501208,0.052016854,1.4093774e-07,1.8641985e-07,4.355723e-07,0.011018316,3.4440308e-07,2.9722725e-07,4.2970817e-07,2.910097e-07,2.5696156e-07,0.055114858,0.021637348,0.00013677593,2.2244225e-05,0.03932742,0.054173283,6.250764e-05,0.038410034,5.145665e-07,3.7163998e-06,0.031801026,4.8490165e-07,0.004761701,1.0779711e-05,5.298386e-07,0.04255313,1.909338e-07,1.7077701e-07,0.0054992293,0.0014445271,3.8941178e-07
18,0.017352495,0.02500384,7.282799e-06,0.018287208,9.935267e-07,3.5316434e-06,6.24158e-05,7.933302e-07,1.1791643e-06,0.04053491,0.045245305,0.00036386942,0.041059576,0.0428747,0.015001898,4.117088e-06,9.7336015e-06,0.035897862,0.027788827,0.04430556,0.043785475,0.042408857,0.04329233,0.04177353,5.586776e-05,0.043405097,2.6309742e-06,0.043770332,0.04289567,3.531891e-07,9.398859e-07,0.00080165546,0.03313583,2.3804703e-05,1.1342335e-06,2.571713e-06,1.3059314e-06,9.594823e-07,0.041120123,0.023748111,0.042435367,0.025645593,0.03928054,0.041568708,0.011568918,0.020757949,0.000111983885,0.013125026,0.027078371,3.37535e-06,8.86011e-06,2.3080263e-05,2.3421262e-06,0.00019914878,7.542237e-08,3.9942496e-08,5.8846922e-08,0.024155764,1.8627453e-06
19,0.06783779,0.024743654,1.1198889e-06,0.0030472681,0.024746625,0.001211125,2.0973155e-05,6.7919245e-07,7.8088203e-07,0.098382644,0.10362168,0.05253036,0.09310635,0.01029177,5.5357435e-07,6.343378e-07,5.9273947e-07,3.781569e-07,3.378991e-07,7.5203724e-07,3.8798646e-07,4.498759e-07,9.917399e-07,8.6284876e-07,0.009061576,1.7505898e-06,7.841601e-07,2.0551581e-06,1.1915811e-05,1.422279e-07,2.596924e-07,3.2616908e-06,0.04385907,1.2360356e-06,0.092306495,1.3241403e-06,1.3156034e-05,0.08106269,0.021358754,0.012664166,6.595856e-06,0.0096399635,4.7129942e-07,8.3319577e-07,3.1638979e-06,1.4903115e-06,0.092652924,0.03385832,0.047147237,0.014949373,0.029039528,3.6288684e-06,0.014294803,0.012818361,8.211115e-07,1.518479e-07,1.7640544e-07,3.6779974e-07,0.0056847096
20,0.05468206,0.000488559,5.749653e-07,2.4929517e-05,0.009257493,4.1839903e-05,0.043689,5.1797036e-07,1.4643174e-06,0.067481056,0.07109851,7.8652084e-07,2.5572038e-07,1.08059744e-07,1.10506896e-07,1.0746812e-07,1.06686684e-07,1.2046378e-07,1.3340332e-07,1.0399119e-07,9.487229e-08,1.060058e-07,1.06513966e-07,1.2941655e-07,2.0971979e-07,9.7755624e-08,1.64444e-07,2.2120761e-07,1.5163774e-07,9.613117e-08,1.6681753e-07,4.956214e-07,0.06799,1.5979252e-06,0.07116717,0.04141342,0.06870734,0.06883234,0.025514705,0.022786586,0.06748087,0.04421103,4.8736786e-07,4.720005e-05,0.0113679655,0.0039308583,0.071040176,0.06670524,0.015962657,2.45579e-07,0.010589162,0.0021695641,0.03529658,0.026574105,0.010269482,0.021133952,4.818269e-06,6.610121e-07,3.200013e-05
21,0.004029527,0.0067337207,1.7654958e-05,0.03569357,0.004311682,0.0011014423,0.0048489613,1.662167e-05,0.013244229,0.03311543,0.04034516,0.039883677,0.0384578,0.035102405,0.040228218,0.040756583,0.040980253,0.03937146,0.039418355,0.004035866,1.6069942e-05,0.038155317,0.0046369447,0.0032819184,0.019191023,0.037727874,0.035829563,0.035412695,0.015421159,1.1512034e-05,7.63823e-06,0.03148294,0.027352542,0.024098208,2.8470354e-06,0.034884356,2.3367735e-05,4.311374e-06,0.03878376,0.031774767,1.614581e-05,1.7646731e-05,0.0002441783,0.0041293493,0.017972715,0.03720289,5.3361764e-06,7.657209e-06,0.01357252,0.024515675,0.00079548964,0.017959107,1.3029686e-05,0.0043824227,4.6801946e-07,4.083302e-07,0.0013480876,0.037879854,0.0001455556
