,Alveolar_type_1,Alveolar_type_2,B_cells,Ciliated_cells,Club_cells,DCs,Endothelial,Fibroblast,Mac_Mono,Mast,Neutrophils,Plasma,T_cells
821,4.4928725e-10,2.7611713e-10,0.11711207,3.9366923e-09,4.8905435e-10,0.19130793,4.4473097e-10,3.0807906e-10,0.12620741,9.944048e-10,0.28044796,0.10458915,0.18033557
822,5.8799227e-10,2.8304728e-10,0.14667666,7.5769995e-09,5.3486326e-10,0.24089295,0.022672871,0.0018297879,0.24566373,2.6456899e-05,0.23955287,1.939048e-09,0.10268465
823,2.3716014e-09,7.773524e-10,3.9416005e-07,4.856236e-07,1.352168e-09,4.458322e-09,1.9080046e-09,1.4299028e-08,3.225248e-09,2.347667e-09,3.6971017e-09,0.29984328,0.7001558
824,0.00033892508,1.1333964e-09,5.673645e-09,0.021772603,5.760838e-09,3.0964982e-09,3.200517e-06,0.6630943,4.2204316e-09,0.00057325524,4.382452e-09,0.043211583,0.27100608
825,1.963911e-09,3.2408284e-10,0.004217694,0.005436257,1.0235203e-09,0.22969855,0.070452504,0.23006132,0.23190635,1.2694148e-09,0.08304077,3.711615e-09,0.14518653
826,0.00025732166,8.9270075e-10,1.0412352e-07,3.0781266e-07,8.88636e-09,0.089102216,0.32136175,0.31754303,0.22133265,2.1797897e-09,0.013362513,6.227966e-09,0.03704011
827,1.1624045e-08,0.21424417,0.100720204,0.011466513,2.2963127e-09,0.2824591,1.5786485e-09,0.037595004,5.5815943e-09,0.049263842,0.021377183,5.0790987e-08,0.28287372
828,0.16257171,0.057945482,0.021445109,0.16270189,0.16687089,0.11050521,0.0026923232,3.8420672e-10,0.16214274,1.5639864e-09,0.15312456,8.582137e-08,4.045639e-09
829,0.3358825,0.42605853,5.2154108e-09,0.021916278,4.016427e-05,5.4736007e-09,0.0043013017,0.1295151,1.68387e-08,1.4049127e-09,0.0822861,3.2516216e-09,2.1373872e-09
830,3.1322254e-09,2.7264632e-10,0.090497814,4.088062e-09,4.054818e-05,0.19223864,1.1743218e-08,0.05948438,0.19318818,0.1858656,0.19037259,0.08831212,4.2088426e-09
831,7.486312e-09,0.32112378,1.9328418e-08,5.3198963e-08,4.6423962e-09,0.001498602,1.2579991e-09,5.957103e-10,0.5402012,2.517439e-09,0.13035312,0.0068231714,5.7766667e-09
832,1.7070974e-09,7.0386563e-10,0.26186922,2.0337596e-09,1.1764372e-09,5.910692e-09,1.2209853e-09,7.888147e-10,4.7504587e-09,0.39030305,4.0693053e-09,0.3095147,0.038313013
833,1.5389903e-09,5.0700555e-10,0.030882249,2.2095274e-09,8.0976376e-10,0.017171036,0.2615251,5.908019e-10,0.20011115,2.618619e-09,0.03484909,4.4845887e-09,0.4554614
834,4.4192416e-06,0.25363696,2.7896219e-08,8.504875e-05,1.4382757e-06,1.567691e-08,0.19167961,0.26050195,0.11722404,1.5663439e-09,0.01874046,6.196396e-08,0.15812598
835,5.0635945e-10,3.224097e-10,0.0030043656,9.534434e-10,5.4233434e-10,0.3283457,6.0228544e-10,3.2899483e-10,0.33518568,2.0058277e-09,0.23501796,2.7621034e-09,0.09844628
836,7.790529e-10,3.5815678e-10,0.10329743,3.772893e-09,5.706504e-10,0.13221048,7.9873624e-10,3.9001247e-10,0.35531652,2.3151636e-09,0.04822019,3.6270726e-09,0.36095542
837,0.0507247,3.9281193e-05,0.014132567,0.23030616,0.23695311,3.777131e-09,0.009501472,0.23142737,2.413371e-09,1.3229183e-09,9.589131e-09,1.5956422e-06,0.22691375
838,0.0015444049,2.6616154e-09,0.21447271,0.05946204,5.128783e-09,9.865272e-09,0.009998593,1.4793143e-09,7.4066686e-09,0.0062801354,0.03178424,0.42065105,0.25580683
839,3.933208e-09,1.2527261e-09,0.008991961,1.0210169e-07,2.5391045e-09,8.157491e-09,0.04083052,0.11199438,6.576613e-09,3.825106e-09,5.485526e-09,0.21644843,0.6217346
840,0.22856835,0.23502098,3.1108276e-09,0.11264121,0.19603203,1.3154858e-09,0.22773743,6.356243e-10,1.2664304e-09,7.549262e-10,1.1246123e-09,2.3263573e-09,2.0360225e-09
841,2.8029004e-07,1.322534e-09,0.08512444,0.01094798,3.684782e-09,0.56788146,0.12097148,0.2150744,1.0107659e-08,4.377218e-09,2.7257562e-08,5.979564e-09,1.5126773e-08
842,3.7594408e-10,2.3534555e-10,0.19702376,9.0362834e-10,3.3161388e-10,0.19932051,4.759754e-10,2.1299223e-10,0.20106204,6.691485e-09,0.19784966,0.0048492104,0.1998948
843,1.9046549e-09,1.0067034e-09,4.3491042e-08,7.54726e-09,2.1443876e-09,0.1458366,0.0069646323,0.5296887,7.0529424e-08,3.4993795e-09,0.124169685,0.19334021,6.9362125e-09
844,7.850051e-10,5.4287996e-10,0.5561825,1.6171378e-09,8.4511126e-10,0.15893298,8.927423e-10,5.196639e-10,0.20869446,2.4579399e-09,1.31219124e-08,0.0006872481,0.07550278
845,7.3578627e-10,3.2846392e-10,0.0064870203,3.1491945e-09,6.7686334e-10,0.22200325,0.2518156,4.4658183e-10,0.2603646,0.0016305413,0.25769895,2.6019529e-09,6.8410952e-09
846,1.540774e-09,8.793639e-10,0.019127978,0.006401513,3.4906886e-09,2.17988e-08,0.003329423,0.34888095,0.34516186,1.755812e-09,0.042355467,0.1663598,0.068382904
847,0.0055269697,1.4850737e-09,2.6231147e-08,0.0052398127,0.035655633,0.20176148,0.019764228,0.47052005,0.011538161,2.351013e-09,0.2499936,3.7531867e-09,5.482032e-09
848,8.2349605e-10,3.567945e-10,0.18447264,0.0029063008,7.770546e-10,0.10898681,8.664527e-09,0.05927007,0.2093405,6.3233307e-09,0.12564719,0.3093765,4.938638e-09
849,1.309589e-08,1.0351081e-09,0.10272762,0.013402507,4.1027426e-09,7.974262e-09,0.53935784,2.6397284e-09,1.0340875e-08,3.1067604e-08,4.711697e-09,0.005865351,0.33864668
850,7.5607776e-10,3.3883554e-10,0.05562411,1.3370614e-09,6.909463e-10,0.29809207,1.4810312e-09,0.049596556,0.29439816,1.0962365e-09,0.29236645,0.009922732,4.9784408e-09
851,1.19137e-09,6.1057515e-10,0.08971938,0.00077949226,9.426779e-10,5.9492318e-09,1.1019381e-09,5.574906e-10,5.0520352e-09,0.5864771,8.922142e-09,0.0077096284,0.31531435
852,4.6247545e-10,2.7082905e-10,0.018678194,8.0674295e-10,4.2892614e-10,0.26548547,4.6111281e-10,2.6633343e-10,0.27172276,1.3208372e-09,0.17710516,2.2497244e-09,0.26700848
853,6.2483857e-10,2.484311e-10,0.17509395,1.8884083e-09,5.9751787e-10,0.18374637,3.864544e-09,0.10612025,0.18668443,1.7307112e-09,0.1634362,0.0056556026,0.17926325
854,0.008307642,1.1804019e-09,1.3159904e-07,0.013579985,2.613788e-05,0.11817714,0.19452737,0.200105,0.19632442,2.3589106e-09,0.19837013,0.070578404,3.6435752e-06
855,1.1246949e-09,3.8188797e-10,2.6672538e-08,5.522098e-09,8.465131e-10,0.026920168,0.28499004,0.25513652,0.20043977,2.049076e-09,0.005701973,0.006910145,0.21990141
856,4.150221e-08,1.2332931e-09,0.043181468,0.00029398117,4.3234523e-09,0.058768727,0.056296915,0.53708285,0.20636247,2.8258377e-08,0.07982463,3.543632e-09,0.018188922
857,1.7204406e-09,7.0760314e-10,2.8097302e-06,5.1406195e-09,1.5503728e-09,5.585578e-09,0.44690228,1.2901405e-09,3.257963e-09,6.810192e-09,2.560565e-09,0.44927624,0.103818655
858,3.6942305e-10,2.2773412e-10,0.20584744,1.6467694e-09,3.5894707e-10,0.21828407,4.139876e-10,2.4200847e-10,0.1661743,9.307091e-10,0.08536576,0.21526314,0.10906518
859,0.10888988,5.1940036e-10,2.8475945e-06,0.014063422,2.535426e-09,0.30733094,9.307651e-10,3.6799652e-10,0.3319743,4.31009e-09,0.08665248,2.7325662e-09,0.15108606
860,1.14016006e-08,5.272999e-10,3.930194e-09,6.280374e-09,1.4684616e-09,1.4414469e-09,0.014185105,0.29102358,1.7453752e-09,0.3504243,2.353717e-09,0.34436694,2.3674225e-09
861,9.084316e-10,4.3610188e-10,0.056422647,0.0010229311,9.592864e-10,0.032630824,0.032603156,0.15443918,0.11168727,0.30347362,0.0124645,0.29525584,4.525178e-09
862,0.15515201,3.434684e-05,0.061028197,0.14675188,0.017165031,0.15697737,1.8942967e-07,3.5780953e-10,0.15916449,1.4279349e-09,0.15267308,0.1510534,1.5448265e-08
863,0.16457137,0.10135153,0.12925242,0.16405721,0.16728736,2.8207168e-08,0.15428124,6.114388e-09,2.1052058e-08,8.280514e-09,0.040953442,0.020876389,0.05736887
864,0.049425587,7.821283e-09,0.08313623,0.037646275,4.6673674e-07,8.4575005e-09,0.62792563,2.4383608e-09,5.4671254e-09,5.009626e-09,4.4169886e-09,1.2058287e-08,0.20186576
865,3.8896903e-08,0.52600473,2.2144175e-09,4.1971826e-09,5.5789258e-09,2.6633367e-09,0.015954351,0.4580409,4.9817674e-09,1.3187379e-09,6.7085533e-09,2.0204174e-09,1.886997e-09
866,2.7466975e-09,9.960889e-10,0.15636897,6.09308e-09,3.1451062e-09,5.5759255e-09,0.5076384,9.635117e-10,4.03944e-09,3.1103566e-09,2.9657699e-09,0.026400097,0.30959257
867,4.5227515e-09,4.5361312e-10,2.0257734e-07,3.5514132e-09,1.4792831e-09,0.18377458,2.7464623e-06,0.2558857,0.19608173,2.6873417e-09,0.10016126,2.2171324e-08,0.26409373
868,7.8648055e-10,4.1984016e-10,0.32777652,2.9443468e-09,5.93464e-10,0.33052054,9.0768415e-10,4.4135157e-10,0.1980351,0.057382703,0.016239407,9.026281e-09,0.07004567
869,4.5161536e-10,2.4812014e-10,0.2061179,1.1532433e-09,4.840558e-10,0.2142701,0.14935902,3.1667205e-10,0.21512042,1.444277e-09,0.21513252,1.9705597e-09,3.0485314e-08
870,3.7798642e-10,2.6894867e-10,0.08896096,0.0017618875,3.8172926e-10,0.10708371,6.727805e-10,2.4354044e-10,0.23358864,1.0016686e-09,0.16241361,0.23158388,0.17460732
871,5.4725724e-10,2.5515104e-10,0.20433044,9.873792e-10,3.922868e-10,0.20674744,5.730909e-10,2.160618e-10,0.20028816,2.5122937e-09,0.16152315,0.020503985,0.2066068
872,2.8280966e-09,5.851046e-10,1.1137884e-08,8.02149e-09,1.3789977e-09,0.10587638,0.025190452,0.42144772,0.2417543,3.194151e-09,0.047910634,1.275376e-08,0.15782052
873,0.07205177,0.2524506,0.036329888,0.00028827833,3.188017e-08,0.20520125,5.5516813e-10,2.6435845e-10,0.23281059,1.0945924e-09,0.13160141,2.2415934e-09,0.069266185
874,1.6349294e-09,9.42576e-10,0.10576336,3.7557224e-09,1.8300111e-09,0.101354785,0.046406534,1.5827205e-09,1.2504195e-08,5.6723275e-09,1.8247453e-08,0.52498454,0.22149073
875,7.4369916e-10,3.9780676e-10,0.08622218,1.6223213e-09,6.7706385e-10,0.06021915,0.19774726,5.483694e-10,0.2324179,2.6896365e-09,0.06479477,2.6132315e-07,0.35859853
876,1.6314624e-09,2.7479161e-06,4.1338435e-09,7.880697e-09,1.7265478e-09,2.3133966e-09,1.2735703e-08,0.65924096,2.9265164e-09,2.3518338e-09,2.5813516e-09,0.34075618,4.6058775e-09
877,7.298679e-09,1.0561841e-09,0.028258035,0.012032831,8.249116e-07,3.933119e-09,0.5000019,0.25520837,4.442727e-09,5.107138e-09,3.4177075e-09,0.19583973,0.008658286
878,4.2933013e-10,2.917448e-10,0.21612254,1.294184e-09,4.5314955e-10,0.057136714,5.1581167e-10,3.0608227e-10,0.30472717,1.4067459e-09,0.17348385,0.0056905737,0.24283919
879,0.0136718275,4.937618e-10,0.009014572,0.020942725,0.048124008,6.718582e-09,0.13086385,0.31086344,5.007731e-09,7.247709e-09,3.4656347e-09,0.15840237,0.3081173
880,0.14989032,0.34935936,2.7930795e-09,6.9445754e-08,1.6473375e-06,9.363244e-09,1.1309045e-06,0.32281682,0.015592382,1.2321048e-09,0.16233826,1.8539028e-09,4.935422e-09
881,0.00093741383,5.145353e-10,0.061622225,3.968119e-09,1.1515005e-09,0.266728,0.2701114,6.768019e-10,0.27275947,1.6173974e-08,0.12784138,6.86421e-09,1.12411e-08
882,0.0010287977,4.822656e-10,0.0527402,2.2050484e-09,8.509032e-10,4.5446145e-09,1.1421895e-09,4.7853727e-10,5.830142e-09,0.44334748,1.2506949e-08,0.44756165,0.055321872
883,0.30263376,0.3302406,0.022412397,0.053964436,0.025696535,0.054788463,9.009917e-10,3.9556422e-10,0.09429652,9.844272e-10,3.7786148e-09,0.009992767,0.105974555
884,0.005224126,8.130934e-10,5.082887e-09,0.09795911,0.13111146,2.5981488e-09,0.24894276,0.51294416,2.308577e-09,2.2244244e-09,2.3457125e-09,0.0038183876,1.2865306e-08
885,4.8856713e-10,2.8710676e-10,0.16933613,0.0034672045,4.5234094e-10,0.24627736,5.0897503e-10,3.01483e-10,0.24106678,1.2061868e-09,0.08315366,0.24376354,0.012935317
