,endothelial cell,mast cell,pancreatic A cell,pancreatic D cell,pancreatic PP cell,pancreatic acinar cell,pancreatic ductal cell,pancreatic epsilon cell,pancreatic stellate cell,type B pancreatic cell
19,2.9734332e-08,1.720318e-07,0.3759936,8.2485593e-07,0.39806476,0.17473617,3.467579e-08,0.05120416,1.1578039e-08,2.0005078e-07
20,0.05539961,0.11952854,3.5855425e-08,2.9096682e-07,0.18951492,0.028956901,0.5566842,0.036461867,0.013453471,7.903846e-08
21,3.4034802e-09,6.1758283e-09,0.29914278,0.30175143,0.103530005,7.122271e-09,4.3893924e-09,0.14473003,2.6648805e-09,0.15084578
22,0.29868072,0.08689058,1.1514485e-06,0.0056479727,1.2643203e-05,1.4341973e-07,0.29805094,0.019631792,0.001326016,0.28975803
23,3.1603307e-09,5.9260277e-09,0.21706215,0.18404882,0.21562877,0.043264363,6.5142363e-09,0.13113947,2.2676392e-09,0.20885642
24,0.017826065,0.040302526,0.19674939,1.8551263e-07,2.031377e-07,0.3177194,0.3188114,0.10859037,3.5947778e-07,4.7350145e-08
25,6.229749e-09,8.963455e-09,0.47610182,1.524691e-06,0.26614714,9.817052e-09,5.910055e-09,0.15710442,4.0412274e-09,0.100645155
26,0.15044415,0.07592624,0.1483726,0.14890537,0.14544651,2.3437718e-08,0.0003752132,0.14500666,0.034930892,0.15059242
27,9.41822e-09,7.975186e-08,0.53310335,0.16300331,4.1685257e-07,0.026298514,1.1081616e-08,0.12537637,0.15221766,3.5317458e-07
28,1.7910367e-07,0.027473439,0.040101092,0.2083882,0.1761362,3.8694575e-06,0.21624066,0.15071851,5.8550955e-07,0.18093722
29,5.197633e-07,2.2590996e-07,5.0943896e-08,1.3442966e-06,0.30718437,2.2018476e-08,5.3143925e-08,0.05378449,0.46934208,0.16968687
30,0.015760886,0.05644477,0.053958636,0.16155131,0.04282017,0.18203703,0.18113624,0.13392684,1.467624e-07,0.17236398
31,0.0014475002,0.00912844,9.504544e-08,4.582043e-05,3.5075328e-07,0.32264692,0.31748927,0.050334115,4.4260545e-08,0.2989074
32,0.055490658,0.0012033846,6.2823226e-08,4.241365e-08,3.3858424e-08,0.4544653,0.43330544,0.014188759,0.041346323,1.5194164e-08
33,5.472651e-09,5.3896874e-09,3.529853e-05,0.28909385,0.23355323,6.94583e-09,4.661447e-09,0.20116286,3.4307899e-09,0.27615473
34,0.0006724131,0.0014691933,0.23862603,1.0562743e-07,4.0587378e-07,6.304519e-08,0.5776116,0.18162009,1.9121572e-08,3.9637772e-08
35,2.8607074e-09,6.4885723e-09,0.28079498,0.2657403,0.10995666,7.0313653e-09,3.866924e-09,0.058774427,2.3156954e-09,0.2847336
36,4.1325388e-09,1.4273408e-08,0.01302067,0.32659414,0.30779126,0.06266072,6.846522e-09,0.16543084,5.7108904e-09,0.1245024
37,3.4071073e-09,7.721855e-09,0.20809264,0.19325498,0.2106544,7.388702e-09,4.9225037e-09,0.19809933,2.939568e-09,0.18989863
38,3.1499392e-09,6.4655734e-09,0.23868234,0.15086837,0.233929,6.8232575e-09,3.975907e-09,0.16133536,2.537092e-09,0.21518491
39,1.1559913e-08,6.033877e-05,0.35119522,2.5080348e-07,0.024287367,0.3589946,0.10576445,0.1596977,3.2993455e-08,8.8041126e-08
40,3.7004604e-09,1.4835689e-08,0.037879493,0.28073967,0.21738102,8.046654e-09,6.380971e-09,0.18640973,3.731561e-09,0.27759007
41,1.8133612e-06,0.01855009,0.14998181,0.13163824,0.15365687,0.14863236,0.15643841,0.14788866,3.8179376e-08,0.09321172
42,0.005157356,0.05589125,0.3010074,0.036902077,0.0034418646,0.0019293645,0.31525874,0.28040007,1.2465473e-06,1.0673259e-05
43,8.0446245e-09,0.00019947556,0.31883007,3.6125408e-07,9.015249e-07,0.37336698,2.9216755e-08,0.042729788,6.583979e-09,0.26487237
44,0.025916947,0.20579073,0.0075683165,0.00020553602,6.974976e-05,0.26268047,0.25943732,0.2338739,0.0044533876,3.5975647e-06
45,8.235705e-08,5.189461e-07,0.26555532,0.2610591,0.073567346,5.1375356e-08,0.039409477,0.1410553,0.08498197,0.13437091
46,2.7386033e-08,0.008168181,3.856686e-07,1.4357043e-06,1.4615424e-07,0.44309267,0.43034017,0.11839617,8.6211305e-09,7.6124036e-07
47,5.4539555e-09,9.216944e-09,0.3689199,0.09338599,0.01602419,0.08973867,8.371022e-09,0.06167322,5.3655103e-09,0.37025803
48,0.006679109,0.01500655,0.01826403,0.17713892,0.09748358,0.18296908,0.18007475,0.1375746,0.0036575664,0.18115172
49,5.66831e-06,0.004419582,0.013302072,0.30061674,0.00045102308,4.075395e-08,0.30478954,0.28703648,2.8394355e-08,0.08937885
50,3.2066012e-09,7.2519777e-09,0.23526257,0.23012725,0.20228405,6.9684756e-09,3.626247e-09,0.09298492,3.1113048e-09,0.23934118
51,9.046137e-08,0.0008179826,0.25361118,0.03851727,0.19763044,2.4142462e-08,0.25082645,0.22541527,2.7614345e-08,0.033181265
52,3.6249232e-05,0.3345293,1.38799185e-08,2.8422813e-08,1.4402731e-08,0.32650778,0.3389081,7.9991935e-08,1.8457953e-05,1.0100975e-08
53,0.0076465905,0.06064381,0.31989294,9.257403e-06,3.48485e-05,1.102664e-06,0.34365305,0.26809174,2.54558e-05,1.2207925e-06
54,2.2938186e-08,0.0029946442,0.115363814,1.3440453e-07,5.1466097e-05,0.38191617,0.38390565,0.11576806,3.561853e-08,4.499725e-08
55,0.24687967,0.19948542,1.04958835e-05,3.2037565e-06,3.30391e-06,0.16079344,0.24575669,0.029704025,0.11736266,1.0778297e-06
56,5.442006e-09,8.32072e-09,0.462725,1.1303027e-06,0.26770264,1.2427364e-08,6.136703e-09,0.19588695,4.518101e-09,0.0736842
57,0.010813847,0.02479737,0.35975283,2.6398914e-07,0.001945982,3.0971938e-07,0.3813469,0.21726876,0.004073639,7.2347326e-08
58,4.028252e-09,1.6738e-08,0.34059504,6.0776074e-06,0.31029606,8.2026235e-09,5.010075e-09,0.27185175,3.4780487e-09,0.07725098
59,7.951956e-09,1.4627729e-08,0.5373563,7.3231367e-06,6.182098e-07,1.1232996e-08,5.7690963e-09,0.03323788,6.326017e-09,0.42939788
60,3.6015573e-09,7.0132478e-09,0.0001732669,0.3056548,0.27346757,9.032828e-09,4.939702e-09,0.16099668,3.43036e-09,0.25970763
