"","cell_ID","Endothelial Cell","Thick Ascending Limb","Distal Convoluted Tubule","Proximal Tubule","Connecting Tubule","Principal Cells","Intercalated Cells Type A","Intercalated Cells Type B","Mesangial Cells","Leukocyte"
"127","126",0,0.704161601149498,0,0,0,0.0641540648684838,0,0,0,0.231684333982018
"128","127",0.115375898571565,0.417632117860014,0,0,0,0.358269994436812,0,0,0,0.10872198913161
"129","128",0.168948454168318,0,0,0.212773871238193,0.366734250626876,0.251543423966613,0,0,0,0
"130","129",0,0.331642971878041,0,0.219022406689981,0,0.449334621431978,0,0,0,0
"131","130",0,0.343025918525592,0,0,0,0.656974081474408,0,0,0,0
"132","131",0,0,0,0.261979664492447,0,0.738020335507553,0,0,0,0
"133","132",0.159423057264936,0.316382634852823,0,0.192965124120889,0,0,0,0,0,0.331229183761352
"134","133",0.112359324872352,0.887640675127648,0,0,0,0,0,0,0,0
"135","134",0,1,0,0,0,0,0,0,0,0
"136","135",0.173600625758744,0,0,0.247802379039742,0,0.366719554583741,0,0.211877440617773,0,0
"137","136",0,0,0.414336649105656,0.19621557295048,0.288211333570064,0,0,0,0.1012364443738,0
"138","137",0.104973989173417,0,0,0.119080254330584,0,0.775945756495999,0,0,0,0
"139","138",0,0.258781442948619,0,0,0,0.426977625296566,0,0,0,0.314240931754816
"140","139",0,0.208056576573727,0,0.225232133331124,0,0.56671129009515,0,0,0,0
"141","140",0,0.819031278134588,0,0,0.180968721865412,0,0,0,0,0
"142","141",0,0.660477244632257,0,0.339522755367743,0,0,0,0,0,0
"143","142",0.175584884036135,0,0,0.587355293317976,0,0,0,0,0,0.237059822645889
"144","143",0,0.568180489020255,0,0.250355615531918,0,0.181463895447827,0,0,0,0
"145","144",0,0.52453626110772,0,0.110597364238224,0,0.364866374654056,0,0,0,0
"146","145",0.166727894822742,0,0,0.39339840724072,0.107496471387112,0.332377226549426,0,0,0,0
"147","146",0.0929684917355365,0.483842129893494,0,0,0,0.124276019758672,0.298913358612298,0,0,0
"148","147",0,0,0,0.276190385114234,0,0.723809614885766,0,0,0,0
"149","148",0,0.560448245122332,0,0,0,0.27190936264658,0,0,0,0.167642392231087
"150","149",0,0.416975648631327,0,0.293938480749223,0,0.28908587061945,0,0,0,0
"151","150",0,0.10410338626667,0.186043994560836,0.284530162584459,0,0.425322456588035,0,0,0,0
"152","151",0.132854987801865,0,0,0.609364796931577,0,0,0,0,0,0.257780215266557
"153","152",0,0.336987549476397,0,0,0,0.332511267108083,0,0,0,0.33050118341552
"154","153",0,0.134075997885727,0.175981622652687,0.152929484922784,0,0.35713200643072,0.179880888108083,0,0,0
"155","154",0,0.285928975967601,0,0.241146455865717,0,0,0.219468522762491,0,0.253456045404192,0
"156","155",0.379907571568986,0,0,0,0,0.412987915547571,0.207104512883443,0,0,0
"157","156",0,0.560157688259242,0.160238530126334,0,0,0.279603781614423,0,0,0,0
"158","157",0.149008306783263,0,0,0.202699134063593,0,0.5267302945939,0,0,0.121562264559244,0
"159","158",0,0,0,0.400015711260633,0,0.362103714570934,0,0,0,0.237880574168433
"160","159",0.207022666805904,0.114929047952885,0,0.300158299278067,0,0.377889985963145,0,0,0,0
"161","160",0.145914330813452,0,0,0,0,0.618758964109452,0,0,0,0.235326705077097
"162","161",0,0.612061934953289,0,0.387938065046711,0,0,0,0,0,0
"163","162",0,0,0.484534734831765,0.515465265168235,0,0,0,0,0,0
"164","163",0.137669749653542,0.179281058810611,0,0.350930205698068,0,0.332118985837778,0,0,0,0
"165","164",0,0.915253242657359,0,0,0,0.0847467573426414,0,0,0,0
"166","165",0,0,0,0.625310877567948,0,0.374689122432051,0,0,0,0
"167","166",0,0,0,0.556560950458949,0.304351068105007,0,0,0,0.139087981436044,0
"168","167",0.325854242412854,0.487561555854835,0,0,0,0,0,0.186584201732311,0,0
