"","cell_ID","NK","CD4_T","Alveolar_Type_2","CD8_T","Monocytes","Macrophage","Alveolar_Type_1","Endothelial","DC","Fibroblast","Mast","B_cells","Muscle_cells","Proliferating_NK_T","Ciliated","Plasma","Club cell","Basal","Proliferating_Macrophage"
"86","85",0,0,0,0,0,2.34275554414529e-18,0,0.0847875763416786,0,0,0.15440980497519,0,0,0,0,0,0,0,0.760802618683131
"87","86",0,0,0,0,0,0.365023418843262,0.172031527647076,0,0,0,0,0,0,0,0,0,0.252656127364134,0.0980590181363472,0.11222990800918
"88","87",0.195124526540115,0,0.508903709491619,0,0,0.295971763968266,0,0,0,0,0,0,0,0,0,0,0,0,1.15742914301273e-18
"89","88",0,0,0.136959074928401,0,0,0.244685393290814,0.148781036954813,0,0,0,0.259256233437965,0,0.210318261388008,0,0,0,0,0,0
"90","89",0,0,0.144301941398459,0,0,0.846585185575142,0,0,0,0,0,0,0,0,0,0,0,0,0.00911287302639868
"91","90",0,0,0,0.143164045735658,0,0,0,0.777364564317563,0,0,0,0.0794713899467793,0,0,0,0,0,0,0
"92","91",0,0,0,0,0.181056429103398,0.442552536400823,0,0.240495015615282,0,0,0,0,0,0,0,0,0,0,0.135896018880497
"93","92",0,0,0,0.110275855205743,0,0.465442407242265,0,0.246112060261313,0,0,0,0,0,0,0,0,0,0,0.17816967729068
"94","93",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"95","94",0,0.0865844472962194,0.578985585365102,0,0,0.235531211079377,0,0,0,0,0,0,0,0,0,0,0,0,0.0988987562593022
"96","95",0,0,0.192170739738009,0,0,0.675713025509909,0,0,0,0,0,0,0,0,0,0,0,0,0.132116234752082
"97","96",0,0,0,0,0,0,0.580930796253455,0.419069203746545,0,0,0,0,0,0,0,0,0,0,0
"98","97",0,0,0.34760065325962,0.282151685197469,0,0,0.287904264391128,0,0,0,0,0,0.0823433971517838,0,0,0,0,0,0
"99","98",0,0.633913888165921,0,0,0.0714377934161272,0,0,0,0,0,0,0,0,0,0.294648318417952,0,0,0,0
"100","99",0,0,0,0.102001643234491,0,0.897998356765509,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","100",0.037792354110136,0,0,0.0954085081757068,0.0849347370800091,0.781864400634148,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","101",0,0,0.246446407223603,0,0,0.305609751038897,0,0.335884007569208,0,0,0,0,0,0,0,0,0.0727139666188261,0,0.0393458675494659
"103","102",0,0,0.383043865827558,0,0,0,0.139838293436124,0.119817270089853,0,0,0.200025885965372,0,0,0,0.157274684681092,0,0,0,0
"104","103",0.0838107910170582,0,0.490682546902489,0.141771723614072,0,0,0.0648261747424008,0.21890876372398,0,0,0,0,0,0,0,0,0,0,0
"105","104",0,0,0.26153559686964,0,0,0.461801294133639,0,0.271426532211461,0,0,0,0,0,0,0,0,0,0,0.00523657678525993
"106","105",0,0,0.731077023251698,0.0770154894691614,0,0,0.19190748727914,0,0,0,0,0,0,0,0,0,0,0,0
"107","106",0,0,0,0,0,0.283726121521462,0,0.0998966171864823,0,0,0.0846850956845965,0,0,0,0,0,0,0,0.53169216560746
"108","107",0,0.102160358918934,0.558302662588124,0,0,0,0.194539119270784,0,0,0,0.117810808465975,0,0,0,0,0,0,0,0.027187050756184
"109","108",0,0,0,0,0,0.360363274982097,0,0,0,0,0,0,0,0,0,0,0,0,0.639636725017903
"110","109",0,0,0.249214544047875,0.0590048708828774,0,0.691780585069248,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","110",0.2032544055496,0,0,0,0,0.197053098218658,0.0828288112474854,0.0948432443837096,0,0,0,0,0,0,0.262602218628567,0,0,0,0.159418221971979
"112","111",0.187458066257322,0,0.192306384649273,0,0,0,0,0.398824658891293,0,0,0,0.221410890202112,0,0,0,0,0,0,0
"113","112",0,0,0.692019997714125,0,0,0,0,0,0,0,0,0,0.307980002285875,0,0,0,0,0,0
"114","113",0.224468403125069,0,0.775531596874931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","114",0,0,0,0.506581077362789,0,0,0,0.493418922637211,0,0,0,0,0,0,0,0,0,0,0
"116","115",0,0,0.489264669264659,0,0,0,0,0.510735330735341,0,0,0,0,0,0,0,0,0,0,0
"117","116",0,0,0,0,0,0.926117023486335,0,0.0626744757706126,0,0,0,0,0,0,0,0,0,0,0.0112085007430528
"118","117",0,0,0.471381054490934,0,0,0.425292440490204,0,0,0,0,0,0,0,0,0,0,0,0,0.103326505018862
"119","118",0.292937729906525,0,0,0,0,0.395031905371793,0,0,0,0,0,0.298954738427426,0,0,0,0,0,0,0.013075626294256
"120","119",0.0637816326859798,0,0.768142360664728,0,0,0,0,0.0948236890541996,0,0,0,0,0,0,0.073252317595093,0,0,0,0
"121","120",0,0,0,0,0,0.465083707663648,0,0.0857255344136807,0,0,0,0,0,0,0.441109367674073,0,0,0,0.00808139024859874
"122","121",0,0,0,0,0,0.58613618563151,0.41386381436849,0,0,0,0,0,0,0,0,0,0,0,0
"123","122",0,0,0.443898364314954,0,0,0.232156966992605,0,0,0,0,0,0,0.154213439833765,0,0,0,0,0,0.169731228858676
"124","123",0,0,0,0,0.213478595894353,0.476390777109343,0,0.238011972780119,0,0,0,0,0.0612964422937547,0,0,0,0,0,0.0108222119224307
"125","124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763241081765136,0,0.123373819599703,0,0.113385098635161
"126","125",0,0,0,0,0,0,0,0.17437452028732,0.605847007639308,0,0.219778472073372,0,0,0,0,0,0,0,0
