"","cell_ID","Fibroblast","B_cells","Mac_Mono","Plasma","Endothelial","T_cells","Alveolar_type_2","Alveolar_type_1","Mast","DCs","Neutrophils","Club_cells","Ciliated_cells"
"135","134",0,2.91197229047652e-05,0.118497265144473,0.14224746989564,0.739226145236982,0,0,0,0,0,0,0,0
"136","135",0,0.516699112384998,0.116456245571073,0,0,0.277551281487987,0,0,0,0,0.0892933605559417,0,0
"137","136",0,0.486744927527822,0,0.513255072472178,0,0,0,0,0,0,0,0,0
"138","137",0,0,0,0,0,0.358459239354889,0,0,0,0,0.641540760645111,0,0
"139","138",0,0.44193738742212,0.304786553277174,0,0.15842750332492,0,0,0,0,0.0948485559757857,0,0,0
"140","139",0,0.618102820145935,0,0,0,0,0,0,0.182117385119218,0.199779794734847,0,0,0
"141","140",0,0.286954778596034,0.686937529768443,0,0,0,0,0,0,0,0.0261076916355222,0,0
"142","141",0,0.471863573650037,0,0.251170740783748,0,0.276965685566215,0,0,0,0,0,0,0
"143","142",0,0.345715435552402,0.404594748223477,0,0,0,0,0,0,0,0.249689816224121,0,0
"144","143",0,0,0.761568954519078,0,0,0.0740171703786058,0,0,0.164413875102316,0,0,0,0
"145","144",0,0.421448739009905,0.394484946599676,0.184066314390419,0,0,0,0,0,0,0,0,0
"146","145",0,0.720560207741983,0.115235757766275,0.127649324393653,0,0.036554710098089,0,0,0,0,0,0,0
"147","146",0,0,0.238124615468922,0,0,0.171362703688963,0,0,0.590512680842115,0,0,0,0
"148","147",0,0.76319061043822,0,0,0,0,0,0,0,0.23680938956178,0,0,0
"149","148",0,0,0.844689253480356,0,0,0.155310746519643,0,0,0,0,0,0,0
"150","149",0,0,0.74080381889509,0,0,0.25919618110491,0,0,0,0,0,0,0
"151","150",0,0,0,0,0,1,0,0,0,0,0,0,0
"152","151",0,0.993484580910344,0,0,0,0.00651541908965618,0,0,0,0,0,0,0
"153","152",0,0,0,0,0,0,0,0,0,0.658526984201624,0.341473015798376,0,0
"154","153",0,0,0,0,0,1,0,0,0,0,0,0,0
"155","154",0,0.304858717890014,0.695141282109986,0,0,0,0,0,0,0,0,0,0
"156","155",0,0.22238257591105,0.77761742408895,0,0,0,0,0,0,0,0,0,0
"157","156",0,0.262345174352947,0.414586667154153,0,0,0,0,0,0,0.3230681584929,0,0,0
"158","157",0,0.000256365742432887,0.102066957882852,0.246718409960894,0,0,0,0,0,0.541811888743145,0.109146377670675,0,0
"159","158",0,0.385122755257086,0.390258844601196,0,0,0.224618400141718,0,0,0,0,0,0,0
"160","159",0.698447512155199,0,0.301552487844801,0,0,0,0,0,0,0,0,0,0
"161","160",0,0.463613242891862,0.521389245681753,0,0,0.0149975114263849,0,0,0,0,0,0,0
"162","161",0,0.873545931208057,0,0,0,0.126454068791943,0,0,0,0,0,0,0
"163","162",0,0,0.604445228842103,0.193989068816014,0,0.201565702341883,0,0,0,0,0,0,0
"164","163",0,-1.46100481443373e-20,0.176637326922545,0,0,0.823362673077455,0,0,0,0,0,0,0
"165","164",0,0,1,0,0,0,0,0,0,0,0,0,0
"166","165",0,0.291102028195912,0.314833050924161,0.394064920879927,0,0,0,0,0,0,0,0,0
"167","166",0,0.463985868603497,0,0,0,0,0,0,0.536014131396503,0,0,0,0
"168","167",0,0,0.698263533386638,0,0,0.193834300133327,0,0,0,0.107902166480035,0,0,0
"169","168",0,0.640554991685375,0.134746082497588,0.224698925817037,0,0,0,0,0,0,0,0,0
"170","169",0,0.663417315140313,0,0,0,0,0,0,0.336582684859687,0,0,0,0
"171","170",0,0,0,0,0,1,0,0,0,0,0,0,0
"172","171",0,0.748724077789193,0,0,0,0,0,0,0,0,0.251275922210807,0,0
"173","172",0,0.468218793721954,0.221242281373269,0,0,0.198119093056625,0,0,0,0.112419831848153,0,0,0
"174","173",0,0,0,0,0,1,0,0,0,0,0,0,0
"175","174",0,0,0.693794781676399,0,0,0.127716292590446,0,0,0,0,0.178488925733155,0,0
"176","175",0.686687531550802,0,0.111520551507535,0,0,0.201791916941663,0,0,0,0,0,0,0
"177","176",0,0,0.615987737473133,0,0,0.141382191936325,0,0,0.0749778003472112,0.0500360534890775,0,0,0.117616216754253
"178","177",0,0,1,0,0,0,0,0,0,0,0,0,0
"179","178",0,0.730216864623866,0,0,0,0,0,0,0.269783135376133,0,0,0,0
"180","179",0,0.349247111761859,0.65075288823814,0,0,0,0,0,0,0,0,0,0
"181","180",0,0,0.75878113318079,0,0,0.0629206846749267,0,0,0,0.178298182144284,0,0,0
"182","181",0,1.96823348257482e-20,0.918396800115525,0,0,0.0816031998844755,0,0,0,0,0,0,0
"183","182",0,0.75977993352831,0,0,0,0.1021379129975,0,0,0,0,0.13808215347419,0,0
"184","183",0,0.313417108997902,0.686582891002099,0,0,0,0,0,0,0,0,0,0
"185","184",0,0.0175163479718278,0.140677365336326,0,0,0,0,0,0,0.841806286691847,0,0,0
"186","185",0,0.00181866170577859,0,0.555496183969685,0,0.442685154324537,0,0,0,0,0,0,0
"187","186",0,0.777803690086495,0,0,0,0.058672252580212,0,0,0,0,0.163524057333293,0,0
"188","187",0,0,0.696342609234699,0,0,0.194427336238929,0,0,0,0,0.109230054526372,0,0
"189","188",0,0.416883109365935,0,0,0,0.26153226284212,0,0,0,0,0,0.321584627791945,0
"190","189",0,0.639017483871032,0,0,0,0.0827109825879461,0,0,0,0,0.278271533541022,0,0
"191","190",0,0.00288679723996296,0,0,0,0.63033126136418,0,0,0,0,0.366781941395857,0,0
"192","191",0,1,0,0,0,0,0,0,0,0,0,0,0
"193","192",0.462334313766619,0,0.537665686233381,0,0,0,0,0,0,0,0,0,0
"194","193",0,0,0.160524785846153,0,0,0.299846661412922,0,0,0,0.539628552740925,0,0,0
"195","194",0,0,0,0,0.548130768935449,0,0,0,0,0.451869231064551,0,0,0
"196","195",0,0.807664482341955,0.120699953318227,0,0,0.0716355643398181,0,0,0,0,0,0,0
"197","196",0,0.383662693010307,0.224728317806945,0,0.254675941239521,0.136933047943227,0,0,0,0,0,0,0
"198","197",0,0.67639956410389,0,0.32360043589611,0,0,0,0,0,0,0,0,0
"199","198",0,0.830641485462952,0,0,0,0.169358514537048,0,0,0,0,0,0,0
"200","199",0,0.000311179346656232,0.292722841454944,0,0.0581808232625487,0,0,0,0.648785155935851,0,0,0,0
"201","200",0,0.411141649716188,0.588858350283812,0,0,0,0,0,0,0,0,0,0
"202","201",0,0.452054180583509,0,0.0578423224750469,0.490103496941444,0,0,0,0,0,0,0,0
"203","202",0,0.628719696688871,0.0308692591111513,0,0,0.211469973635191,0,0,0,0,0.128941070564787,0,0
"204","203",0,0.00216566168281219,0,0,0,0.721634280343733,0,0,0,0,0.276200057973454,0,0
"205","204",0,0,0,0,0,0.29396198131308,0,0,0.70603801868692,0,0,0,0
"206","205",0,0,1,0,0,0,0,0,0,0,0,0,0
"207","206",0,0,0.263680220477861,0,0,0,0,0,0,0.736319779522139,0,0,0
"208","207",0,0.386011086564619,0.165441844871132,0,0,0,0,0,0,0.34333891300715,0.105208155557099,0,0
"209","208",0,0,0.0961768741111367,0,0,0.903823125888863,0,0,0,0,0,0,0
"210","209",0,0.263242691199727,0,0.387851357471622,0,0.34890595132865,0,0,0,0,0,0,0
"211","210",0,0.291474550802338,0.295228779292232,0,0,0,0,0,0,0,0,0,0.41329666990543
"212","211",0,0.243192825306105,0.756807174693895,0,0,0,0,0,0,0,0,0,0
"213","212",0,0.475383651105711,0.294391278435429,0,0,0.0732894270484672,0,0,0,0,0.156935643410392,0,0
"214","213",0,0.387723338090445,0.423951794355299,0.188324867554256,0,0,0,0,0,0,0,0,0
"215","214",0,1.76964402270091e-19,0,0,0,1,0,0,0,0,0,0,0
"216","215",0,0.00214917342858292,0,0.324076519174637,0,0,0,0,0,0.67377430739678,0,0,0
"217","216",0,0,0,0,0,0.29713065739099,0,0,0.529491814849132,0.173377527759878,0,0,0
"218","217",0,0,0,0,0,0.649559206295106,0,0,0,0.350440793704894,0,0,0
"219","218",0,0,0.730921255958409,0,0,0.269078744041591,0,0,0,0,0,0,0
"220","219",0,0.832957364502235,0,0,0,0.167042635497765,0,0,0,0,0,0,0
"221","220",0,1,0,0,0,0,0,0,0,0,0,0,0
"222","221",0,0.769690564567918,0,0,0.147669106484786,0,0,0,0,0,0.0826403289472957,0,0
"223","222",0,0.931004380339359,0,0.0689956196606408,0,0,0,0,0,0,0,0,0
"224","223",0,0,0,0,0,0,0,0,0,0.188885086525847,0.811114913474153,0,0
"225","224",0,0,0,0,0,1,0,0,0,0,0,0,0
"226","225",0,0.53836511623995,0,0,0,0,0,0,0.46163488376005,0,0,0,0
"227","226",0,0,0.806136943147362,0,0,0.193863056852638,0,0,0,0,0,0,0
"228","227",0,0.584449507944131,0,0,0,0.275024475518021,0,0,0.0474558209064526,0,0.0930701956313962,0,0
"229","228",0,0,0,0,0,1,0,0,0,0,0,0,0
"230","229",0,0.000474668091432332,0,0,0,0.811234301384628,0,0,0,0,0.18829103052394,0,0
"231","230",0,0.828348152543732,0.171646910403455,0,0,0,0,4.93705281355672e-06,0,0,0,0,0
"232","231",0,0,0.897462428192834,0,0,0.102537571807166,0,0,0,0,0,0,0
"233","232",0,0,0.740684351735605,0,0,0.226396143370504,0,0,0,0.0329195048938909,0,0,0
"234","233",0,0.0350617770268044,0.3141069436711,0,0,0,0.650831279302096,0,0,0,0,0,0
"235","234",0,0.00200266319222311,0.826415076144768,0.171582260663009,0,0,0,0,0,0,0,0,0
"236","235",0,0.91918120979912,0,0,0,0.0808187902008804,0,0,0,0,0,0,0
"237","236",0,0,0.156238679874457,0,0,0.2083701670986,0.249013501143818,0,0,0,0.386377651883125,0,0
"238","237",0,-5.64205075854766e-21,0.262215645203828,0,0,0.554565126534964,0,0,0,0,0.183219228261209,0,0
"239","238",0,0.642159340495264,0,0,0,0,0,0,0,0,0.357840659504736,0,0
"240","239",0,0,0,0,0,1,0,0,0,0,0,0,0
"241","240",0,0,0.457419559430163,0,0,0,0,0,0,0.542580440569837,0,0,0
"242","241",0,0,0.842644557316403,0,0,0.157355442683597,0,0,0,0,0,0,0
"243","242",0,0.357844948711397,0.567715196457115,0,0,0.0744398548314886,0,0,0,0,0,0,0
"244","243",0,0.2673641101432,0.7326358898568,0,0,0,0,0,0,0,0,0,0
"245","244",0,0,0,0,0,1,0,0,0,0,0,0,0
"246","245",0,0,0.602662069612103,0,0,0.38036177172609,0,0,0,0.0169761586618067,0,0,0
"247","246",0,0.0142776599462334,0.985722340053767,0,0,0,0,0,0,0,0,0,0
"248","247",0,0.514685823161643,0.485314176838357,0,0,0,0,0,0,0,0,0,0
"249","248",0,0,0.429896438434626,0,0,0,0,0,0,0.570103561565374,0,0,0
"250","249",0,1,0,0,0,0,0,0,0,0,0,0,0
"251","250",0,0.434236168284794,0.565763831715206,0,0,0,0,0,0,0,0,0,0
"252","251",0,0,0.333484160532285,0,0,0.159204561173688,0,0,0,0.453625496679568,0.0536857816144592,0,0
"253","252",0,0,0,0,0,1,0,0,0,0,0,0,0
"254","253",0,0.98903570704917,0,0,0,0.0109642929508296,0,0,0,0,0,0,0
"255","254",0,0.789697802222183,0,0,0,0.180957742490586,0,0,0,0.0293444552872311,0,0,0
"256","255",0,0.0693762931002456,0.207949541614563,0,0,0.722674165285192,0,0,0,0,0,0,0
"257","256",0,0.570905968986055,0.429094031013945,0,0,0,0,0,0,0,0,0,0
"258","257",0,0.0454589709616331,0.0955788919642429,0,0,0,0,0,0,0.858962137074124,0,0,0
"259","258",0,0.957226603808756,0,0,0,0.0427733961912435,0,0,0,0,0,0,0
"260","259",0,0.609268577677997,0.21817867126606,0,0,0,0,0,0,0,0.172552751055942,0,0
"261","260",0,0.492594044491547,0,0,0,0.000984016345485485,0,0,0,0,0.506421939162968,0,0
"262","261",0,0.00674352807211942,0,0.445578763744577,0,0.547677708183303,0,0,0,0,0,0,0
"263","262",0,0.721007649763933,0.278992350236067,0,0,0,0,0,0,0,0,0,0
"264","263",0,0.705826734185782,0,0,0,0.294173265814218,0,0,0,0,0,0,0
"265","264",0,-1.07217770247045e-19,0,0.230292406833036,0,0.431163283651631,0,0,0,0.338544309515333,0,0,0
"266","265",0,0.639683790815934,0,0.156676866986614,0,0.0125190228763877,0,0,0,0,0.191120319321064,0,0
"267","266",0,0.537979406583431,0.462020593416569,0,0,0,0,0,0,0,0,0,0
